id,text
267,Thinkin’ Back - Color Me Badd
268,Can’t Let Go - Mariah Carey
269,Giving Him Something He Can Feel - En Vogue
270,It’s So Hard To Say Goodbye To Yesterday - Boyz II Men
271,Take This Heart - Richard Marx
272,Diamonds And Pearls - Prince and The New Power Generation
273,Tell Me What You Want Me To Do - Tevin Campbell
274,Everything Changes - Kathy Troccoli
275,Live And Learn - Joe Public
276,Warm It Up - Kris Kross
277,Humpin’ Around - Bobby Brown
278,Keep Coming Back - Richard Marx
279,She’s Playing Hard To Get - Hi-Five
280,Do I Have To Say The Words? - Bryan Adams
281,We Got A Love Thang - CeCe Peniston
282,Keep On Walkin’ - CeCe Peniston
283,Uhh Ahh - Boyz II Men
284,Thought I’d Died And Gone To Heaven - Bryan Adams
285,Blowing Kisses In The Wind - Paula Abdul
286,Addams Groove - Hammer
287,Ain’t 2 Proud 2 Beg - TLC
288,I’m Too Sexy - Right Said Fred
289,Justified And Ancient - The KLF featuring Tammy Wynette
290,Sometimes Love Just Ain’t Enough - Patty Smyth and Don Henley
291,The Way I Feel About You - Karyn White
292,My Lovin’ (YOU’RE Never Gonna Get It) - En Vogue
293,Let’s Get Rocked - Def Leppard
294,That’s What Love Is For - Amy Grant
295,If - Janet Jackson
296,Rain - Madonna
297,Alright - Kris Kross
298,It Was A Good Day - Ice Cube
299,Love Is - Vanessa Williams and Brian McKnight
300,7 - Prince and The New Power Generation
301,Again - Janet Jackson
302,I Will Always Love You - Whitney Houston
303,Nuthin’ But A ‘G’ Thang - Dr. Dre
304,Angel - Jon Secada
305,Freak Me - Silk
306,I’m Gonna Be (500 Miles) - The Proclaimers
307,I Have Nothing - Whitney Houston
308,Sweat (A La La La La Long) - Inner Circle
309,Ordinary World - Duran Duran
310,Two Princes - Spin Doctors
311,Bed Of Roses - Bon Jovi
312,Insane In The Brain - Cypress Hill
313,Layla - Eric Clapton
314,Show Me Love - Robin S.
315,Baby I’m Yours - Shai
316,Rhythm Is A Dancer - Snap!
317,Come Undone - Duran Duran
318,Runaway Train - Soul Asylum
319,Bad Boys - Inner Circle
320,Faithful - Go West
321,Hip Hop Hooray - Naughty by Nature
322,To Love Somebody - Michael Bolton
323,I Get Around - 2Pac
324,Connected - Stereo MC’s
325,A Whole New World - Peabo Bryson and Regina Belle
326,Cryin’ - Aerosmith
327,More And More - Captain Hollywood Project
328,The River Of Dreams - Billy Joel
329,Walking On Broken Glass - Annie Lennox
330,Hey Mr. D.J. - Zhané
331,Informer - Snow
332,Knockin’ Da Boots - H-Town
333,Weak - SWV
334,When She Cries - Restless Heart
335,Get Away - Bobby Brown
336,I Got A Man - Positive K
337,Dre Day - Dr. Dre featuring Snoop Doggy Dogg
338,Have I Told You Lately - Rod Stewart
339,If I Ever Fall In Love - Shai
340,Good Enough - Bobby Brown
341,One Last Cry - Brian McKnight
342,Rebirth Of Slick (COOL Like Dat) - Digable Planets
343,Who Is It - Michael Jackson
344,Whoomp! (THERE It Is) - Tag Team
345,Anniversary - Tony! Toni! Toné!
346,Another Sad Love Song - Toni Braxton
347,Love Is On The Way - Saigon Kick
348,Slam - Onyx
349,Dreamlover - Mariah Carey
350,Livin’ On The Edge - Aerosmith
351,Forever In Love - Kenny G
352,Ditty - Paperboy
353,Here We Go Again! - Portrait
354,Three Little Pigs - Green Jellÿ
355,Two Steps Behind - Def Leppard
356,Lately - Jodeci
357,Mr. Wendal - Arrested Development
358,Boom! Shake The Room - DJ Jazzy Jeff & The Fresh Prince
359,What About Your Friends - TLC
360,Deeper And Deeper - Madonna
361,Will You Be There - Michael Jackson
362,Don’t Walk Away - Jade
363,I’d Die Without You - P.M. Dawn
364,I’m So Into You - SWV
365,Comforter - Shai
366,How Do You Talk To An Angel - The Heights
367,I Don’t Wanna Fight - Tina Turner
368,What’s Up? - 4 Non Blondes
369,If I Had No Loot - Tony! Toni! Toné!
370,Can’t Help Falling In Love - UB40
371,Reason To Believe - Rod Stewart
372,Do You Believe In Us - Jon Secada
373,In The Still Of The Nite - Boyz II Men
374,"Give It Up, Turn It Loose - En Vogue"
375,Saving Forever For You - Shanice
376,Looking Through Patient Eyes - P.M. Dawn
377,Dazzey Duks - Duice
378,The Right Kind Of Love - Jeremy Jordan
379,Right Here (HUMAN Nature Remix) - SWV
380,"Whoot, There It Is - 95 South"
381,I’m Every Woman - Whitney Houston
382,Little Miss Can’t Be Wrong - Spin Doctors
383,Nothin’ My Love Can’t Fix - Joey Lawrence
384,Shoop (#5*) - Salt N’ Pepa
385,Cat’s In The Cradle - Ugly Kid Joe
386,That’s What Love Can Do - Boy Krazy
387,I’ll Never Get Over You (GETTING Over Me) - Exposé
388,That’s The Way Love Goes - Janet Jackson
389,Stay - Eternal
390,Linger - The Cranberries
391,If You Go - Jon Secada
392,The Sign - Ace of Base
393,I Miss You - Aaron Hall
394,What Is Love - Haddaway
395,Always - Bon Jovi
396,Always - Erasure
397,Crazy - Aerosmith
398,Again - Janet Jackson
399,All That She Wants - Ace of Base
400,Anything - SWV
401,Streets Of Philadelphia - Bruce Springsteen
402,The Power Of Love - Céline Dion
403,I Can See Clearly Now - Jimmy Cliff
404,Gin And Juice - Snoop Doggy Dogg
405,Regulate - Warren G featuring Nate Dogg
406,Hero - Mariah Carey
407,Mr. Vain - Culture Beat
408,Loser - Beck
409,Shoop - Salt-n-Pepa
410,"Baby, I Love Your Way - Big Mountain"
411,Shine - Collective Soul
412,So Much In Love - All-4-One
413,Keep Ya Head Up - 2Pac
414,Now And Forever - Richard Marx
415,Far Behind - Candlebox
416,Never Lie - Immature
417,Return To Innocence - Enigma
418,"Because The Night - 10,000 Maniacs"
419,This D.J. - Warren G
420,When Can I See You - Babyface
421,Can We Talk - Tevin Campbell
422,Indian Outlaw - Tim McGraw
423,Mmm Mmm Mmm Mmm - Crash Test Dummies
424,Said I Loved You…But I Lied - Michael Bolton
425,Whatta Man - Salt-n-Pepa and En Vogue
426,Circle Of Life - Elton John
427,Lucky One - Amy Grant
428,(AT Your Best) You Are Love - Aaliyah
429,Amazing - Aerosmith
430,Secret - Madonna
431,Wild Night - John Mellencamp featuring Me’shell Ndegeocello
432,Don’t Take The Girl - Tim McGraw
433,Stay (I Missed You) - Lisa Loeb and Nine Stories
434,Breathe Again - Toni Braxton
435,Fantastic Voyage - Coolio
436,I Swear - All-4-One
437,"All For Love - Bryan Adams, Rod Stewart and Sting"
438,"Any Time, Any Place - Janet Jackson"
439,Back & Forth - Aaliyah
440,Can You Feel The Love Tonight - Elton John
441,I’d Do Anything For Love (BUT I Wont Do That) - Meat Loaf
442,Don’t Turn Around - Ace of Base
443,I’m Ready - Tevin Campbell
444,Beautiful In My Eyes - Joshua Kadison
445,Cry For You - Jodeci
446,The Most Beautiful Girl In The World - Prince
447,"What’s The Frequency, Kenneth? - R.E.M."
448,Bump N’ Grind - R. Kelly
449,Endless Love - Luther Vandross and Mariah Carey
450,Flava In Ya Ear - Craig Mack
451,Just Kickin’ It - Xscape
452,Please Forgive Me - Bryan Adams
453,What’s My Name? - Snoop Doggy Dogg
454,Come To My Window - Melissa Etheridge
455,Tootsee Roll - 69 Boyz
456,Always In My Heart - Tevin Campbell
457,Funkdafied - Da Brat
458,Groove Thang - Zhané
459,The Way She Loves Me - Richard Marx
460,Anytime You Need A Friend - Mariah Carey
461,You Mean The World To Me - Toni Braxton
462,Cantaloop (FLIP Fantasia) - Us3
463,Understanding - Xscape
464,I’m The Only One - Melissa Etheridge
465,Stroke You Up - Changing Faces
466,Mary Jane’s Last Dance - Tom Petty and the Heartbreakers
467,Getto Jam - Domino
468,Never Keeping Secrets - Babyface
469,Got Me Waiting - Heavy D & the Boyz
470,Turn The Beat Around - Gloria Estefan
471,Gangsta Lean - DRS
472,I’ll Stand By You - Pretenders
473,Prayer For The Dying - Seal
474,Because Of Love - Janet Jackson
475,Rock And Roll Dreams Come Through - Meat Loaf
476,Your Body’s Callin’ - R. Kelly
477,Without You / Never Forget You - Mariah Carey
478,I’ll Remember - Madonna
479,I’ll Take You There - General Public
480,Someone To Love - Jon B. featuring Babyface
481,Believe - Elton John
482,Creep - TLC
483,Baby - Brandy
484,I Know - Dionne Farris
485,Come And Get Your Love - Real McCoy
486,Runaway - Janet Jackson
487,Total Eclipse Of The Heart - Nicki French
488,Scream - Michael Jackson and Janet Jackson
489,Carnival - Natalie Merchant
490,Thank You - Boyz II Men
491,Fantasy - Mariah Carey
492,December - Collective Soul
493,"December, 1963 (OH, What A Night) - The Four Seasons"
